planet_ID,planet_temp,log_H2O,log_CO2,log_CH4,log_CO,log_NH3
0,1108.7250669544758,-6.484809383594796,-7.016511692742524,-3.294728559895706,-3.3519125977598296,-6.955827708289931
1,636.858130335449,-8.829193007233386,-8.603964550575284,-5.501124441505634,-4.7993709132286355,-6.0200194736215895
2,420.5276092596995,-6.626829608240089,-6.420931963842422,-6.755726623958708,-5.318470879634866,-4.695117631816327
3,1370.9061163260496,-7.6393720345766125,-5.877303148436476,-4.476839918227466,-5.200010469222246,-6.240725736962148
4,746.1700759565103,-4.172605213842434,-6.8993349363502485,-6.360433513223072,-4.140252127000156,-8.896858053554494
5,1606.4203492726135,-6.193040817428766,-8.044259564071417,-6.274135373718086,-3.933476920223231,-4.860690922379151
6,1687.6681422051877,-7.587993411461088,-4.905218580727286,-6.9511461638061265,-5.25994375667336,-4.30876209649836
7,1036.5419951901206,-4.860590161948756,-5.1498965866578805,-8.414117084526783,-3.1312425123890657,-5.8879530342729165
8,1894.4262373448166,-4.5634668386821575,-4.446741049137354,-5.544289215098675,-4.3653871177271295,-8.544595254692677
9,1398.904600224943,-3.1978608913667603,-5.635948161486219,-7.9619799557539315,-3.112748652623467,-7.210507378595833
10,928.1678497208684,-6.072413224743515,-4.7651183450125725,-4.382302575580454,-4.912634856245699,-8.466155835724368
11,1690.9549871996455,-5.869292318929933,-6.346205682601721,-5.245798837398042,-3.3436723607516683,-8.344479963150235
12,454.27097738005034,-7.515992683070398,-8.683362837885179,-8.014362041337018,-3.7899380409949615,-5.685055237756314
13,673.5341729949115,-3.543642963113654,-4.80702081942965,-6.631530735160111,-5.246831763584206,-8.815616502918257
14,1097.2292862457148,-5.901016825732953,-4.496884087769344,-4.820796642233946,-3.907038950920003,-8.455607577402752
15,669.124394053181,-8.160771743736486,-7.700373175592803,-6.541962882705555,-3.8278993401508066,-6.646170257121783
16,1298.856943305473,-4.639386985370902,-5.614969218004324,-6.988623876382478,-4.428624668512022,-4.683079591804504
17,1300.997518628675,-7.775057327785314,-7.049118910432415,-4.199703444099594,-4.026407279052652,-8.030805298151346
18,1854.00991459382,-3.5463815345812657,-7.673769566720271,-4.7689943591112325,-3.2149354945433304,-4.559482890635666
19,1121.7542892182598,-8.039473110624542,-6.5422566644874065,-8.528889824269525,-4.610398176965148,-8.345425915830607
20,1953.3796196704413,-8.85700735806818,-7.552895169030091,-5.603266982926073,-5.327735633228167,-5.846967726759759
21,1330.5463416722946,-4.418340581254672,-8.844871140378386,-5.35894352883325,-4.825541570443461,-5.8161415904483045
22,945.5574947314065,-5.571275342628624,-4.154193531133573,-4.836547606961299,-4.504512330297901,-4.404850553931644
23,1035.0974222247726,-8.172876778005211,-5.711750399419192,-8.820909490551346,-3.7331271450866508,-5.254427108650171
24,2832.790293448299,-8.974520235248935,-4.868391441587657,-3.2862955402187826,-5.615990555804852,-6.001340966716816
25,2708.000347595615,-8.528359171049793,-4.968481397884322,-6.989159700484872,-3.6553802334839256,-6.729294081406758
26,2500.299713533199,-4.73907732419438,-6.047557643589089,-5.861048416122797,-3.3454494337979184,-4.963588531026817
27,637.5155488458546,-3.8100059751391377,-6.636873365975555,-4.497602440813059,-5.280450161105012,-7.71778069484157
28,979.0963209079537,-8.602025374995382,-6.769508685230093,-6.511497451665577,-3.1846240207421777,-6.699872938744235
29,903.9732214168292,-8.085695905385473,-8.533615067678495,-5.754697030327205,-4.512893382037421,-6.258554018795226
30,796.342063636934,-5.615043474432802,-8.288616957648,-8.945581156809716,-3.7700516376268736,-7.277774520186692
31,1360.3234686745452,-6.381541271436899,-4.687227737677375,-7.939456149139476,-4.256551382253091,-4.776143595016422
32,641.0556876734125,-6.284112855271195,-8.151474370482825,-3.7355238650250335,-5.0837213424744565,-6.3532372267222765
33,515.5135180785542,-4.0829047923319575,-6.8904884570996145,-5.021316638610604,-3.9103345184350173,-4.700570099925503
34,436.9104189084555,-4.771437639262567,-5.791372341082218,-5.225137166027188,-4.6376304414153005,-5.001257525478145
35,995.5954526308917,-3.9155125704926466,-7.127688761153976,-3.605262982176213,-5.985083527264042,-8.893756239386168
36,683.2309607627093,-3.990420698374571,-7.654837189668552,-8.3506007139144,-5.773463958410655,-6.512340273238736
37,654.8937981887865,-3.4758586140964134,-6.374222735337057,-3.075333139763644,-4.969377813694004,-8.565921100602749
38,2573.3307849215435,-4.151037196983298,-7.554845869125399,-5.905047136741491,-5.029654907662596,-4.052176790144289
39,652.8880539732485,-3.9376466175832263,-6.255248598860755,-6.950379620308626,-3.519065882856352,-7.229429912756176
40,2023.104444323991,-3.576755362617569,-4.432724324105655,-8.473992760335015,-4.851233080723919,-7.807570355471878
41,862.5808071820518,-8.118557061296457,-5.926276710466042,-3.4760456597306595,-4.040266461743773,-5.663900642366727
42,2726.330221140011,-3.7497834899569,-6.367387283394518,-6.023846622523095,-4.298594877367849,-5.9438854098195835
43,524.3567274947442,-5.134013800358742,-5.097449086144022,-5.046673243669041,-3.2453189621284286,-6.64035048644771
44,774.9590048845142,-7.126586141324097,-8.843769533752157,-4.412192188430531,-5.844943523017982,-7.983657862530493
45,443.307800015266,-4.956730362593914,-7.084964304477609,-8.553418238169037,-4.995143602079585,-5.65148171053624
46,730.5795736385171,-7.616289265280683,-6.177962571842528,-5.137899061992595,-4.53334631993047,-8.524288277507175
47,1565.5425310123228,-4.972121714801001,-5.147739331570164,-3.8024627356880316,-4.388350992089102,-4.889686786756773
48,2116.135507003932,-3.332319343901247,-6.179405514440209,-3.559377297562593,-4.517915239942667,-6.518319810938506
49,326.9570933741801,-7.496614120232742,-6.237680924588375,-5.84816009869617,-5.872562857856389,-7.33281215553409
50,1626.1274037391556,-4.990457572868442,-4.129001795683445,-6.600562835289468,-4.461360947363762,-4.178546752206486
51,321.7239497307657,-8.811528027234214,-4.009971327948858,-6.741208683389575,-4.723990045485028,-7.899915599209098
52,2518.294263280968,-4.76572056428001,-7.634291308193358,-5.5272469236741735,-3.930039265931267,-8.03953908732782
53,1064.7192857140665,-7.091431702763188,-6.3465088144385025,-8.334198899422557,-3.687781093980475,-5.956528043407712
54,967.6984442855105,-7.964571095946118,-4.310440755982397,-7.346868131510957,-5.074651544716723,-8.76078164015081
55,803.7142981079617,-5.145075345585054,-7.3678326995836425,-8.014552647337698,-4.470994695562165,-8.246012703907343
56,1790.4866412506174,-8.093769558149365,-5.673460814453634,-5.410104767344134,-3.8058598509948904,-7.556086829261779
57,966.1099781427965,-6.470073567299601,-4.863801053609415,-6.724522608618172,-3.8055047790604544,-6.47904207436072
58,1580.4084882864877,-6.944249565132366,-6.213842868574938,-4.4025937254609895,-5.359732255757479,-5.690841913384677
59,710.1634285967015,-7.981699890889324,-4.538197514599897,-3.573644168099481,-5.386607680278406,-6.621089023527284
60,1358.5147027543426,-5.116922740305537,-8.495849263497275,-3.060665912838025,-5.08562475651686,-4.042658420029532
61,2333.3956069404526,-5.891750918853919,-7.086458959648716,-7.276634187334576,-3.000879507805589,-4.60912992600683
62,241.0137129316817,-8.017766704050363,-8.940791687199782,-7.408949862675255,-3.8223377204153772,-7.807089245201637
63,635.2563382227617,-5.04026283727479,-6.097478646308426,-7.996851400424686,-3.2908414706406517,-4.090032044926976
64,1466.8320246620183,-3.2446220963861805,-6.23008754030527,-6.158893939650743,-3.9933355623826223,-6.598880034692159
65,848.8063625589006,-3.057197289017232,-6.165413325244332,-4.379401304362064,-3.4295567749191815,-5.259323628593267
66,2095.3221349174933,-7.414979740642687,-5.125443012047335,-7.9357431807851135,-4.346501079829696,-8.27471556459248
