planet_ID,T_q1,T_q2,T_q3,log_H2O_q1,log_H2O_q2,log_H2O_q3,log_CO2_q1,log_CO2_q2,log_CO2_q3,log_CH4_q1,log_CH4_q2,log_CH4_q3,log_CO_q1,log_CO_q2,log_CO_q3,log_NH3_q1,log_NH3_q2,log_NH3_q3
0,1096.7540599377423,1109.4906874904832,1122.7165698603912,-10.88442050969805,-8.86797248713725,-6.684767189630663,-10.153066250570024,-7.434078834973797,-6.823955486796589,-3.3464533735234,-3.2914273604305055,-3.229520489719009,-4.082411892969471,-3.3998768759076436,-3.0421251076053277,-11.01912502115234,-8.890987359927683,-6.9771701181014905
1,616.0729761060577,636.9774748065636,657.582228109453,-11.095211413176948,-9.323548543363845,-7.452824029385269,-10.785394777469087,-9.24752093732087,-8.291703349449437,-5.672252567382437,-5.513984469195156,-5.337995092617415,-5.203368218392298,-4.816854744341979,-4.414735050147376,-6.25520399349269,-6.029389743794021,-5.83955920031892
2,411.0593754561136,420.392211095466,429.15629369382265,-10.4503081974324,-7.773854930112408,-6.522568520603639,-6.884895698225146,-6.449624010519506,-6.060705553270643,-8.724522711525356,-7.086556018669634,-6.492431824645596,-5.972763525488919,-5.39059814821205,-4.929774373367364,-4.773785730535078,-4.6680488729400365,-4.556865964337412
3,1357.9646118593116,1382.8134993711592,1409.8924552091548,-10.88275874095164,-8.827417268231287,-6.804878805445653,-6.073258271247472,-5.891994962247149,-5.733862349569441,-4.529318412216185,-4.4782716675606675,-4.430260240510334,-10.65985848483139,-7.749673215116948,-5.096799526439565,-10.860119340569726,-7.922047292539481,-6.382086003286326
4,737.5883746933837,746.1779981729443,756.2344934178271,-4.254871402534,-4.172825112396656,-4.098339537757942,-7.180685768821213,-6.927282140388544,-6.680214920641764,-6.618037606268402,-6.397635334809105,-6.210865341176602,-4.54319729879365,-4.166813083510369,-3.8352002436379555,-11.185112403991507,-9.489310052840553,-7.766873707214789
5,1579.0696194469963,1603.6846476004746,1632.1119016586163,-10.110522106636191,-6.823819936155593,-6.1670673348142095,-11.011089429092088,-8.938286220804079,-8.001021436321684,-6.500744525041883,-6.323443461065922,-6.167500729044087,-4.096833764563917,-3.8982659523180683,-3.693792226569944,-4.897409883506056,-4.836607212777398,-4.777860555192055
6,1660.4509736155665,1688.2615475569876,1719.3412648055694,-10.878818024312075,-8.866958990525678,-6.5920243814827675,-5.0440872744862695,-4.8990776797204685,-4.773625131758312,-11.158401934095433,-9.14215958454083,-7.0756706639595945,-10.329497867568513,-7.5237835571403044,-4.929389559445335,-4.374372398336606,-4.310767032206019,-4.246680695349349
7,1018.9835841621248,1039.7759567264275,1060.4051522430345,-4.984827227130897,-4.867362697047397,-4.746294471974794,-5.3335632604818395,-5.161851143674076,-4.9808953638799895,-11.224665208451018,-9.713503205392037,-8.129531056684499,-3.703251512556695,-3.230069823867426,-2.812114345334152,-6.032062794231027,-5.898704936515463,-5.778137492905652
8,1861.275569498384,1898.2838580605012,1934.6648676430952,-4.652987202277855,-4.573761359281347,-4.498293459794474,-4.596985226450039,-4.459269547934109,-4.307724222327578,-5.702626208530854,-5.547122905599492,-5.4102861655517716,-10.429802830325896,-7.196864848262753,-4.383015256594466,-10.990657345215297,-9.032424314462506,-6.8537014900153475
9,1366.710997346967,1395.9271373886463,1425.9572901848605,-3.3350903774421017,-3.214233264924709,-3.0890217910769695,-5.9135396739843875,-5.590907453038256,-5.288274250246418,-11.083816433293322,-9.505983818717757,-7.40155512687405,-9.84523667535643,-5.5576489340932484,-3.362652559460867,-10.81670260030298,-8.867759584861794,-6.747905918587239
10,906.8446970951002,924.7736660421839,943.4361360859527,-10.873662312346692,-8.518765658815818,-6.316308791107802,-4.872977715527411,-4.690000612919695,-4.528760437232269,-4.434005132311748,-4.350202823674669,-4.259702434459485,-10.696142958869107,-7.6852433973726235,-5.030722326493938,-11.043166298373022,-9.156902489102823,-7.507286469110367
11,1667.9836924574051,1690.2363577463668,1714.2131818298567,-5.994761335030724,-5.880851581288333,-5.782377543228104,-6.484496689030471,-6.346056812871031,-6.204778380504769,-5.305886966304066,-5.243765832515899,-5.177979406902129,-3.726830484442461,-3.38674333568063,-3.0946683327957016,-11.215228558928137,-9.49571151405657,-7.55924322533425
12,443.2400866878714,456.39042144790784,469.0743011619408,-10.992972404164247,-9.010037841518606,-7.2789481150043205,-11.11301910857612,-9.46826469937555,-8.309203012914256,-11.13098503037513,-9.337427333667888,-7.859775102759772,-4.254973585021031,-3.7982194874770396,-3.385291170765993,-5.918103579307322,-5.689794617303206,-5.490482538599393
13,658.7847050678438,674.315687391327,691.2078732334594,-3.6673203833013917,-3.546187667202325,-3.4251109979614345,-5.026921100516463,-4.791067987844704,-4.59501345567825,-7.734408420571836,-6.85052548312004,-6.433741722081112,-10.523305194992108,-7.450986874692352,-5.187364338363922,-11.263541678209132,-9.41591705015326,-7.6732221407598455
14,1074.0398554923697,1093.7627789445846,1111.7146880996945,-6.695896319915867,-6.059482144913301,-5.790443397972565,-4.581777329040309,-4.455718052038799,-4.336077391833065,-4.866977718505635,-4.792187324180166,-4.70955583749409,-7.193260841372288,-4.376332189283801,-3.6332741926097185,-11.202219761143184,-9.283966422870664,-7.44877837660238
15,664.4897315437327,669.537657186394,674.9340138369444,-11.297500029850923,-9.652711894260126,-8.078111987099028,-8.051603153896918,-7.743182642472584,-7.475803398807516,-6.746977346333129,-6.546785970572662,-6.3923264042718815,-4.095350946623645,-3.839929398401023,-3.576583855521415,-6.781757182593213,-6.659185822576265,-6.54331874145849
16,1287.273920460964,1299.14456399686,1310.942482660053,-4.700515750639838,-4.644705765182529,-4.59052644338636,-5.721767285881021,-5.604925966704297,-5.477310418799699,-11.240149623876336,-9.24897922678645,-7.206392206819045,-10.08113318559685,-6.964723379570822,-4.436624255686925,-4.717750933183582,-4.680746497432056,-4.644228146371896
17,1279.438143537628,1300.5038344668503,1320.7973649869616,-10.988453469233923,-9.153510639462793,-7.172894365143463,-7.403676335284496,-6.9951886475242935,-6.718143848124079,-4.256449469331367,-4.196278639021381,-4.130297176091631,-8.591329568004362,-4.789455115591581,-3.7680028731138733,-11.072619322268997,-9.374220513087081,-7.475446957765006
18,1829.6713418519769,1852.8533896675792,1878.9242669628911,-3.6217325360749038,-3.5543989181052953,-3.4902946982320686,-11.031742057204344,-9.028980635867674,-7.372491557175726,-4.974208195320256,-4.793259207174418,-4.649334935979045,-5.900002131010046,-3.7127019533279384,-3.1651025311573964,-4.695429020797883,-4.572303836502962,-4.458084205639646
19,1110.9516902512387,1122.2504839414578,1133.8403702969063,-11.334355258871158,-9.542510152843647,-8.041966438538227,-6.666425753343121,-6.542685570530461,-6.4157529234288315,-11.254161133488479,-9.7654649431823,-8.455241556570233,-5.062625744166175,-4.666254472630064,-4.372227817134419,-11.230375337550848,-9.558871623014674,-7.919806621647718
20,1917.9696998777029,1957.41667351324,1997.2497332802247,-11.102714585596585,-9.505708211756215,-7.699608217267307,-7.6951496825874015,-7.471220536105798,-7.292219974905534,-5.703043046832194,-5.609451492574816,-5.515175527408227,-9.56313994143843,-6.32912535237251,-5.099307224704715,-5.945625624365269,-5.856296715037474,-5.778537053996042
